# > host: RA(deg) dec(deg) Ks_mag rstar(rsun) mstar(msun) teff(K) log_g metallicity(dex)
# planet: T14(h) rplanet(rearth) mplanet(mearth) semi-major_axis(AU) period(d) t_eq(K) is_min_mass
 TOI-1467 b: 1.578 1.676 9.000 0.0495 5.97199 555.1 0
>TOI-1468: 16.6538724 19.2249195 8.497 0.340 0.340 3496.0 5.00 -0.04
 TOI-1468 b: 1.191 1.280 3.210 0.0208 1.88051 682.0 0
 TOI-1468 c: 1.764 2.064 6.640 0.0849 15.53248 337.4 0
>TOI-1470: 10.0891431 61.2133868 9.283 0.470 0.470 3709.0 4.77 0.00
 TOI-1470 b: 1.280 2.180 7.320 0.0285 2.52709 726.3 0
 TOI-1470 c: 2.700 2.470 7.240 0.1060 18.08816 376.6 0
>TOI-1472: 14.1142611 48.6375168 9.277 0.840 0.920 5133.0 4.55 0.29
 TOI-1472 b: 2.612 4.160 16.500 0.0650 6.36381 889.8 0
>TOI-1478: 126.4337428 -13.5595485 9.201 1.050 0.950 5597.0 4.37 0.08
 TOI-1478 b: 4.166 11.882 270.473 0.0903 10.18025 920.3 0
>TOI-150: 112.9654210 -73.6060358 9.940 1.530 1.350 6255.0 4.13 0.28
 TOI-150.01: 5.120 14.067 797.753 0.0704 5.85749 1406.4 0
>TOI-1516: 340.0846204 69.5037313 9.669 1.140 1.140 6520.0 4.25 -0.05
 TOI-1516 b: 2.826 15.244 1004.338 0.0330 2.05601 1848.6 0
>TOI-1518: 352.2675207 67.0348062 8.325 1.950 1.790 7300.0 4.10 -0.10
 TOI-1518 b: 2.365 21.017 731.005 0.0389 1.90260 2492.3 0
>TOI-157: 73.7014398 -76.6806061 10.892 1.170 0.950 5404.0 4.28 0.24
 TOI-157 b: 2.146 14.415 375.039 0.0314 2.08454 1591.2 0
>TOI-1601: 38.3615690 41.0134321 9.191 2.190 1.510 5982.0 3.93 0.34
 TOI-1601 b: 6.485 14.199 387.000 0.0690 5.33175 1625.1 0
>TOI-163: 79.7682532 -71.8955269 10.124 1.650 1.440 6495.0 4.19 0.22
 TOI-163 b: 4.930 16.690 387.753 0.0580 4.23131 1670.5 0
>TOI-1634: 56.3906096 37.1122803 8.600 0.450 0.450 3472.0 4.79 0.19
 TOI-1634 b: 1.027 1.773 7.570 0.0149 0.98935 920.4 0
 TOI-1634 c: nan nan nan 0.3295 103.00000 195.6 0
>TOI-1669: 45.9564744 83.5874273 8.462 1.060 0.990 5497.0 4.38 0.27
 TOI-1669 b: nan nan 191.000 1.2700 500.00000 242.2 1
 TOI-1669 c: 1.928 2.296 13.000 0.0376 2.68005 1407.4 0
>TOI-1670: 259.0172522 72.1611806 8.724 1.320 1.210 6170.0 4.29 0.09
 TOI-1670 b: 2.800 2.060 41.318 0.1030 10.98462 1065.1 0
 TOI-1670 c: 5.400 11.063 200.232 0.2490 40.74976 685.0 0
>TOI-1680: 292.3139790 65.9738018 10.821 0.210 0.180 3225.0 5.05 0.04
 TOI-1680 b: 1.186 1.466 nan 0.0314 4.80263 401.9 0
>TOI-1683: 65.9796504 27.8223701 8.085 0.700 0.690 4402.0 4.59 nan
 TOI-1683.01: 1.318 2.638 nan 0.0365 3.05754 929.5 0
>TOI-1685: 68.5939529 43.0370395 8.758 0.460 0.450 3575.0 4.85 0.30
 TOI-1685 b: 0.918 1.468 3.030 0.0114 0.66914 1096.0 0
>TOI-169: 16.7786879 -75.1989452 10.815 1.290 1.150 5880.0 4.28 0.24
 TOI-169 b: 1.706 12.173 251.404 0.0352 2.25545 1715.5 0
>TOI-1691: 272.4041179 86.8603430 8.535 1.010 0.960 5642.0 4.41 0.05
 TOI-1691 b: 4.971 3.565 14.600 0.1260 16.73690 770.3 0
>TOI-1693: 90.3083455 34.7730904 8.331 0.460 0.490 3499.0 4.80 nan
 TOI-1693 b: 1.420 1.410 nan 0.0226 1.76670 761.2 0
>TOI-1694: 97.7487104 66.3605956 9.425 0.800 0.850 5058.0 4.56 0.13
 TOI-1694 b: 2.870 5.342 31.300 0.0450 3.77011 1028.4 0
 TOI-1694 c: nan nan 297.000 0.1000 393.10000 689.9 1
>TOI-1695: 21.9217346 72.2966148 8.818 0.520 0.510 3690.0 4.72 0.00
 TOI-1695 b: 1.311 1.900 6.360 0.0335 3.13428 700.5 0
>TOI-1696: 65.2806480 48.8198312 11.331 0.280 0.260 3185.0 4.96 0.34
 TOI-1696 b: 1.000 3.090 48.800 0.0229 2.50031 537.0 0
>TOI-1710: 94.2838373 76.2110200 7.959 0.960 1.030 5684.0 4.49 0.15
 TOI-1710 b: 5.255 5.203 22.400 0.1660 24.28338 659.1 0
>TOI-172: 316.6318791 -26.6928654 9.722 1.780 1.130 5645.0 3.99 0.15
 TOI-172 b: 4.714 10.817 1722.639 0.0914 9.47725 1201.3 0
>TOI-1723: 116.7971978 68.4766845 8.133 1.090 1.040 5743.0 4.38 0.16
 TOI-1723 b: 4.396 3.292 10.400 0.1140 13.72641 856.3 0
>TOI-1728: 120.6116787 64.7971531 8.803 0.620 0.650 3980.0 4.66 0.25
 TOI-1728 b: 1.960 5.050 26.780 0.0391 3.49151 764.2 0
>TOI-1736: 43.4344615 69.1013450 7.283 1.430 1.040 5636.0 4.14 0.15
 TOI-1736 b: 3.983 3.182 12.300 0.0730 7.07308 1202.8 0
 TOI-1736 c: nan nan 2441.000 1.3700 571.25000 277.7 1
>TOI-1739: 240.1724810 83.2586589 8.388 0.750 0.790 4922.0 4.58 0.07
 TOI-1739 b: 1.800 1.695 nan 0.0742 8.30334 754.6 0
>TOI-1742: 257.3288678 71.8766724 7.335 1.130 1.090 5815.0 4.37 0.19
 TOI-1742 b: 6.292 2.365 9.700 0.1540 21.26908 759.6 0
>TOI-1749: 282.7372281 64.4194660 10.270 0.550 0.580 3985.0 4.70 -0.26
 TOI-1749 b: 1.032 1.390 57.000 0.0291 2.38839 835.4 0
 TOI-1749 c: 1.883 2.120 14.000 0.0443 4.49290 677.1 0
 TOI-1749 d: 1.765 2.520 15.000 0.0707 9.04970 536.0 0
>TOI-1751: 243.4888534 63.5335297 7.934 1.310 0.940 5970.0 4.17 -0.37
 TOI-1751 b: 7.651 2.951 19.500 0.2150 37.46852 710.6 0
>TOI-1753: 252.4698351 61.1735768 10.175 0.970 0.950 5621.0 4.44 0.03
 TOI-1753 b: 3.178 2.479 16.600 0.0590 5.38461 1099.0 0
>TOI-1758: 354.7415810 75.6852317 8.811 0.820 0.830 5151.0 4.53 -0.02
 TOI-1758 b: 3.670 3.557 6.900 0.1380 20.70513 605.5 0
>TOI-1759: 326.8516615 62.7538164 7.930 0.600 0.610 4065.0 4.65 0.05
 TOI-1759 b: 3.230 3.140 10.800 0.1177 18.85019 442.6 0
>TOI-1775: 150.1151015 39.4577506 9.722 0.830 0.920 5284.0 4.57 0.16
 TOI-1775 b: 3.664 8.047 96.000 0.0800 10.24055 820.7 0
>TOI-1776: 164.7772913 40.9837182 6.687 0.940 0.920 5785.0 4.46 -0.19
 TOI-1776 b: 1.932 1.216 1.400 0.0378 2.79987 1391.1 0
>TOI-178: 7.3020115 -30.4541159 8.656 0.650 0.650 4316.0 4.45 -0.23
 TOI-178 b: 1.692 1.152 1.500 0.0261 1.91456 1039.2 0
 TOI-178 c: 1.950 1.669 4.770 0.0370 3.23845 872.3 0
 TOI-178 d: 2.346 2.572 3.010 0.0592 6.55770 689.6 0
 TOI-178 e: 2.501 2.207 3.860 0.0783 9.96188 599.6 0
 TOI-178 f: 2.348 2.287 7.720 0.1039 15.23192 520.6 0
 TOI-178 g: 2.167 2.870 3.940 0.1275 20.70950 469.9 0
>TOI-1789: 142.7434060 26.5399951 8.345 2.170 1.510 5991.0 3.94 0.37
 TOI-1789 b: 2.300 16.141 222.480 0.0488 3.20866 1926.0 0
>TOI-1794: 203.3974857 49.0608433 8.692 1.320 0.970 5631.0 4.18 0.04
 TOI-1794 b: 3.915 3.297 8.700 0.0820 8.76553 1089.4 0
>TOI-1798: 211.0939367 46.5192825 9.237 0.790 0.850 5106.0 4.57 0.07
 TOI-1798.01: 3.138 2.385 6.500 0.0740 8.02154 804.5 0
 TOI-1798.02: 1.285 1.399 5.600 0.0107 0.43781 2115.6 0
>TOI-1799: 167.2329152 34.3030149 7.381 0.950 0.940 5698.0 4.45 -0.06
 TOI-1799 b: 3.141 1.422 4.000 0.0710 7.08574 1005.1 0
>TOI-1801: 175.5755995 23.0270335 7.805 0.550 0.560 3863.0 4.78 -0.19
 TOI-1801 b: 2.713 2.079 5.738 0.0783 10.64387 493.5 0
>TOI-1806: 166.1181474 30.4585763 10.016 0.400 0.390 3272.0 4.83 nan
 TOI-1806.01: 2.583 3.410 nan 0.0877 15.14547 336.9 0
>TOI-1807: 201.2826259 38.9223671 7.568 0.750 0.800 4914.0 4.60 0.04
 TOI-1807 b: 0.977 1.497 2.440 0.0122 0.54937 1857.9 0
>TOI-181: 352.1725409 -34.4914099 9.047 0.740 0.820 4994.0 4.61 0.27
 TOI-181 b: 1.990 6.956 46.169 0.0539 4.53200 892.3 0
>TOI-1811: 188.9223576 27.2143766 9.643 0.770 0.820 4766.0 4.58 0.31
 TOI-1811 b: 1.951 11.142 308.929 0.0439 3.71308 962.6 0
>TOI-1820: 187.6867207 27.4520016 9.508 1.510 1.040 5734.0 4.24 0.14
 TOI-1820 b: 2.920 12.778 731.005 0.0610 4.86067 1375.7 0
>TOI-1823: 196.2197201 63.7532610 8.332 0.800 0.840 4927.0 4.55 0.24
 TOI-1823 b: 5.923 7.541 67.400 0.2120 38.80000 461.5 0
>TOI-1824: 197.7312286 61.7448492 7.757 0.810 0.880 5165.0 4.56 0.12
 TOI-1824 b: 4.110 2.744 16.000 0.1510 22.80853 576.8 0
>TOI-1836: 245.9079242 54.6900774 8.531 1.650 1.250 6237.0 4.10 -0.14
 TOI-1836 b: 6.625 8.281 24.700 0.1570 20.38085 975.0 0
 TOI-1836 c: 1.787 2.600 8.000 0.0309 1.77275 2198.1 0
>TOI-1842: 201.9626552 9.0306437 8.446 2.030 1.460 6039.0 3.99 0.33
 TOI-1842 b: 4.307 12.349 89.400 0.1000 9.57392 1312.0 0
>TOI-1853: 211.4593468 16.9923703 10.055 0.810 0.840 4985.0 4.49 0.11
 TOI-1853 b: 1.190 3.460 73.200 0.0213 1.24363 1482.4 0
>TOI-1855: 205.3539534 17.6868719 9.523 1.040 0.990 5359.0 4.40 0.40
 TOI-1855 b: 1.194 18.495 360.100 0.0240 1.36415 1701.8 0
>TOI-1859: 279.8317644 69.5228726 9.243 1.360 1.290 6341.0 4.29 0.12
 TOI-1859 b: 5.457 9.752 nan 0.3370 63.48347 614.3 0
>TOI-1860: 226.4567308 64.0476821 6.792 0.940 0.990 5752.0 4.58 0.04
 TOI-1860 b: 1.142 1.310 nan 0.0204 1.06621 1882.8 0
>TOI-1883: 134.0892456 -12.9306438 10.994 0.490 0.490 3477.0 4.50 nan
 TOI-1883 b: 2.039 5.650 nan 0.0468 4.50638 542.5 0
>TOI-1898: 144.5553000 23.5467464 6.663 1.610 1.250 6241.0 4.12 -0.10
 TOI-1898 b: 4.270 9.396 129.000 0.2690 45.52234 736.2 0
>TOI-1899: 299.4268472 40.1433462 10.509 0.610 0.630 3926.0 4.67 0.28
 TOI-1899 b: 4.700 11.097 212.945 0.1525 29.09031 378.6 0
>TOI-1937 A: 116.3707214 -52.3832587 11.226 1.080 1.070 5814.0 4.40 0.20
 TOI-1937 A b: 1.377 13.978 638.835 0.0193 0.94668 2096.1 0
>TOI-198: 2.2715087 -27.1217452 7.856 0.440 0.470 3650.0 4.75 -0.70
 TOI-198 b: 1.631 1.440 nan 0.1000 10.21520 369.2 0
>TOI-199: 80.1058735 -59.8954326 8.814 0.820 0.940 5255.0 4.58 0.22
 TOI-199 b: 6.554 9.079 54.031 0.4254 104.85400 351.8 0
 TOI-199 c: nan nan 88.992 0.8070 273.69000 255.4 0
>TOI-1994: 147.1745753 -51.7565640 9.775 2.300 1.860 7700.0 3.98 -0.01
 TOI-1994 b: 4.044 13.675 7024.008 0.0613 4.03371 2274.4 0
>TOI-2000: 146.3970631 -66.6866307 9.303 1.130 1.080 5611.0 4.36 0.44
 TOI-2000 b: 1.959 2.700 11.000 0.0427 3.09833 1391.7 0
 TOI-2000 c: 3.654 8.140 81.700 0.0878 9.12706 970.7 0
>TOI-201: 87.4017825 -54.9104230 7.846 1.320 1.320 6394.0 4.32 0.24
 TOI-201 b: 4.797 11.299 133.489 0.3000 52.97818 646.7 0
>TOI-2010: 292.1669417 53.4873694 8.281 1.080 1.110 5929.0 4.42 0.17
 TOI-2010 b: 8.681 11.814 408.727 0.5516 141.83402 400.1 0
>TOI-2015: 232.1326528 27.3610730 10.263 0.330 0.340 3194.0 4.95 0.05
 TOI-2015 b: 1.110 3.390 16.400 0.0301 3.34897 510.0 0
>TOI-2018: 229.8374423 29.2078771 7.104 0.620 0.570 4174.0 4.62 -0.58
 TOI-2018 b: 2.360 2.268 9.200 0.0609 7.43558 642.2 0
>TOI-2019: 234.4317651 48.9552060 8.598 1.750 1.180 5626.0 4.03 0.41
 TOI-2019 b: 7.573 5.333 34.400 0.1280 15.34440 1003.1 0
>TOI-2025: 282.7952558 82.2454143 10.010 1.460 1.200 5977.0 4.19 0.15
 TOI-2025 b: 3.601 11.893 1144.182 0.0892 8.87210 1166.0 0
>TOI-2046: 16.1849423 74.3313055 10.094 1.210 1.130 6250.0 4.30 -0.06
 TOI-2046 b: 2.410 16.141 731.005 0.0267 1.49718 2027.8 0
>TOI-2048: 237.9241066 52.3063083 9.439 0.790 0.830 5185.0 4.60 0.02
 TOI-2048 b: 3.301 2.610 nan 0.1209 13.79019 639.2 0
>TOI-206: 73.7382202 -62.5218740 10.060 0.350 0.350 3383.0 4.89 nan
 TOI-206 b: 0.674 1.300 nan 0.0112 0.73631 911.9 0
>TOI-2068: 186.2735600 60.4183455 9.007 0.540 0.560 3710.0 4.73 0.27
 TOI-2068 b: 2.060 1.821 nan 0.0632 7.76891 522.9 0
>TOI-2076: 217.3920159 39.7903991 7.115 0.800 0.860 5192.0 4.57 0.02
 TOI-2076 b: 3.243 2.771 16.100 0.0880 10.35510 754.9 0
 TOI-2076 c: 4.193 3.694 55.000 0.1420 21.01533 594.2 0
 TOI-2076 d: 2.970 3.431 29.000 0.1990 35.12569 502.0 0
>TOI-2081: 264.3022634 53.0255666 9.523 0.530 0.540 3800.0 4.50 -0.50
 TOI-2081 b: 2.485 2.040 nan 0.0752 10.50534 486.5 0
>TOI-2084: 259.2545389 72.7470231 11.148 0.470 0.450 3551.0 4.75 -0.13
 TOI-2084 b: 2.030 2.470 nan 0.0501 6.07842 524.7 0
>TOI-2088: 261.3748943 75.8822796 9.521 0.850 0.900 5081.0 4.53 0.34
 TOI-2088 b: 7.362 3.683 37.000 0.4720 124.72997 328.8 0
>TOI-2095: 285.6365235 75.4185135 8.988 0.440 0.440 3759.0 5.11 -0.24
 TOI-2095 b: 2.720 1.250 4.100 0.1010 17.66484 378.3 0
 TOI-2095 c: 3.120 1.330 7.400 0.1370 28.17232 324.8 0
>TOI-2096: 151.6186989 74.8272107 11.021 0.230 0.230 3300.0 5.05 -0.03
 TOI-2096 b: 1.072 1.243 nan 0.0250 3.11906 482.7 0
 TOI-2096 c: 1.354 1.914 nan 0.0400 6.38784 381.6 0
>TOI-2107: 286.7965405 -58.6968348 10.328 0.930 0.960 5627.0 4.48 0.07
 TOI-2107 b: 2.596 13.574 263.798 0.0352 2.45455 1395.7 0
>TOI-2109: 253.1862971 16.5799153 9.070 1.700 1.450 6540.0 4.14 0.07
 TOI-2109 b: 1.801 15.098 1595.499 0.0179 0.67247 3072.5 0
>TOI-2120: 23.5073150 65.5139877 10.205 0.240 0.210 3131.0 4.99 0.39
 TOI-2120 b: 1.014 2.122 6.800 0.0377 5.79982 380.9 0
>TOI-2128: 256.9817998 32.1053027 5.821 1.120 1.030 5968.0 4.35 -0.07
 TOI-2128 b: 4.698 2.089 4.500 0.1270 16.34136 854.6 0
>TOI-2134: 271.9355015 39.0729269 6.091 0.710 0.740 4580.0 4.80 0.12
 TOI-2134 b: 2.995 2.690 9.130 0.0780 9.22920 666.3 0
 TOI-2134 c: 5.267 7.270 41.890 0.3710 95.50000 305.5 0
>TOI-2136: 281.1763433 36.5631318 9.343 0.340 0.340 3342.0 4.91 0.03
 TOI-2136 b: 1.632 2.190 6.370 0.0570 7.85193 393.6 0
>TOI-2141: 258.7623456 18.3403449 7.870 0.980 0.940 5659.0 4.42 -0.12
 TOI-2141 b: 4.900 3.050 24.000 0.1330 18.26157 740.7 0
>TOI-2145: 263.7580753 40.6950428 7.761 2.750 1.720 6200.0 3.79 0.28
 TOI-2145 b: 7.468 12.419 1767.000 0.1110 10.26113 1488.1 0
>TOI-2152: 26.3389717 77.7901231 9.597 1.610 1.520 6630.0 4.21 0.28
 TOI-2152 A b: 3.715 14.359 899.454 0.0506 3.37735 1802.7 0
>TOI-2154: 71.0281482 84.3642652 9.850 1.400 1.230 6280.0 4.24 0.01
 TOI-2154 b: 2.465 16.287 292.402 0.0513 3.82408 1582.0 0
>TOI-2158: 276.8100527 20.5268868 9.071 1.410 1.120 5673.0 4.19 0.47
 TOI-2158 b: 3.770 10.761 260.619 0.0750 8.60077 1186.1 0
>TOI-216: 73.9800129 -63.2603301 10.218 0.750 0.770 5026.0 4.66 0.32
 TOI-216.01: 5.514 10.100 177.984 0.1902 34.52553 481.3 0
 TOI-216.02: 2.062 8.000 18.752 0.1193 17.16073 607.6 0
>TOI-2180: 277.9436300 56.6506789 7.604 1.640 1.110 5695.0 4.06 0.25
 TOI-2180 b: 24.096 11.321 875.617 0.8280 260.79000 386.5 0
>TOI-2184: 100.8331246 -66.9476563 10.410 2.900 1.530 5966.0 3.70 0.14
 TOI-2184 b: 6.780 11.400 206.588 0.0818 6.90683 1713.1 0
>TOI-2193 A: 313.6912320 -72.8046404 10.383 1.250 1.080 5966.0 4.28 0.03
 TOI-2193 A b: 1.647 19.840 298.759 0.0332 2.12257 1765.5 0
>TOI-2194: 299.1563393 -31.3351812 5.869 0.690 0.740 4756.0 4.70 -0.37
 TOI-2194 b: 2.736 1.989 nan 0.1039 15.33760 590.9 0
>TOI-2196: 312.3400744 -70.4850723 10.346 1.040 1.030 5634.0 4.42 0.14
 TOI-2196 b: 1.504 3.510 26.000 0.0223 1.19473 1853.6 0
>TOI-220: 91.7996988 -61.9972098 8.542 0.860 0.820 5298.0 4.37 -0.22
 TOI-220 b: 2.239 3.030 13.800 0.0891 10.69526 793.7 0
>TOI-2202: 51.2284214 -73.9575458 10.800 0.790 0.820 5144.0 4.55 0.04
 TOI-2202 b: 3.752 11.321 310.836 0.0956 11.91010 712.9 0
 TOI-2202 c: nan nan 117.279 0.1554 24.67440 559.2 0
>TOI-2207: 307.5966925 -44.8876181 10.133 1.560 1.300 6101.0 4.16 0.18
 TOI-2207 b: 4.632 11.153 203.410 0.0854 8.00197 1257.4 0
>TOI-2236: 20.1660113 -86.9799650 9.960 1.570 1.340 6248.0 4.17 0.12
 TOI-2236 b: 3.048 14.370 502.169 0.0501 3.53159 1686.7 0
>TOI-2257: 194.7396141 77.6617157 10.673 0.310 0.330 3430.0 4.97 -0.27
 TOI-2257 b: 3.846 2.194 nan 0.1450 35.18935 241.8 0
>TOI-2260: 247.6669998 49.0467891 8.684 0.940 0.990 5534.0 4.62 0.22
 TOI-2260 b: 0.578 1.620 nan 0.0097 0.35247 2626.9 0
>TOI-2266: 245.2800398 31.5770413 11.017 0.240 0.230 3200.0 4.97 nan
 TOI-2266 b: 0.980 1.540 nan 0.0200 2.32632 534.5 0
>TOI-2274: 277.4593110 40.5414117 8.342 0.630 0.610 3943.0 4.50 nan
 TOI-2274 b: 0.903 2.450 nan 0.0500 2.67963 674.9 0
>TOI-2285: 332.5632644 58.7060934 9.034 0.460 0.450 3491.0 4.77 -0.05
 TOI-2285 b: 2.416 1.740 19.500 0.1363 27.26955 309.3 0
>TOI-2337: 290.6198948 60.8539035 9.678 3.220 1.320 4780.0 3.50 0.39
 TOI-2337 b: 6.917 10.088 508.525 0.0446 2.99432 1958.5 0
>TOI-2338: 81.3445824 -34.6682491 10.664 1.050 0.990 5581.0 4.40 0.22
 TOI-2338 b: 3.468 11.209 1900.614 0.1580 22.65398 693.8 0
>TOI-2364: 89.1300265 -5.0120298 10.363 0.890 0.950 5306.0 4.52 0.34
 TOI-2364 b: 2.775 8.608 71.511 0.0487 4.01975 1093.7 0
>TOI-2368: 134.9576234 -48.4884929 10.342 0.850 0.900 5360.0 4.54 0.10
 TOI-2368 b: 2.025 10.839 206.588 0.0565 5.17501 1002.6 0
>TOI-237: 353.2435381 -29.4164870 10.896 0.210 0.180 3212.0 5.04 nan
 TOI-237 b: 1.173 1.440 nan 0.0341 5.43610 384.4 0
>TOI-2373: 61.6862197 -16.7557546 11.586 1.100 1.040 5651.0 4.37 0.30
 TOI-2373 b: 4.384 10.424 2955.804 0.1120 13.33668 854.0 0
>TOI-2374: 319.4982407 -22.0498228 9.793 0.690 0.750 4802.0 4.14 0.15
 TOI-2374 b: 1.380 6.810 56.640 0.0471 4.31361 886.3 0
>TOI-2379: 358.0920465 -53.0431560 11.477 0.620 0.650 3707.0 4.65 0.50
 TOI-2379 b: 1.867 11.725 1830.692 0.0526 5.46938 613.5 0
>TOI-238: 349.2310814 -18.6066463 8.598 0.750 0.790 5080.0 4.58 -0.05
 TOI-238 b: 1.440 1.612 3.400 0.0212 1.27311 1457.0 0
 TOI-238 c: nan 2.184 6.700 0.0749 8.46565 761.6 0
>TOI-2384: 36.1561463 -65.0001957 11.119 0.610 0.640 3943.0 4.66 0.33
 TOI-2384 b: 1.891 11.489 624.851 0.0279 2.13570 888.6 0
>TOI-2406: 8.8060544 -3.3720833 11.894 0.200 0.170 3100.0 5.04 -0.26
 TOI-2406 b: 1.249 2.860 15.600 0.0227 3.07669 444.0 0
>TOI-2411: 20.9224567 -8.7017944 8.532 0.680 0.650 4099.0 4.59 nan
 TOI-2411 b: 1.262 1.680 nan 0.0144 0.78269 1358.3 0
>TOI-2416: 57.3389409 -60.7871861 11.511 1.240 1.120 5808.0 4.30 0.32
 TOI-2416 b: 3.755 9.864 953.485 0.0831 8.27548 1081.9 0
>TOI-2420: 14.8268138 -19.7711643 9.800 2.370 1.160 5707.0 3.76 nan
 TOI-2420 b: 4.554 15.020 294.627 0.0684 5.84264 1619.9 0
>TOI-2421: 33.1540208 -35.3909182 9.667 1.750 1.130 5607.0 4.00 0.19
 TOI-2421 b: 4.862 10.368 105.837 0.0543 4.34740 1534.9 0
>TOI-2427: 52.2917315 -31.3628665 7.048 0.650 0.640 4072.0 4.62 nan
 TOI-2427 b: 0.634 1.800 nan 0.0202 1.30600 1113.8 0
>TOI-244: 10.5697537 -36.7179743 7.970 0.430 0.430 3433.0 4.66 -0.39
 TOI-244 b: 1.700 1.520 2.680 0.0559 7.39722 459.1 0
>TOI-2443: 40.1798608 1.1996757 6.500 0.730 0.660 4357.0 4.71 -0.44
 TOI-2443 b: 4.563 2.773 nan 0.0893 15.66949 600.8 0
>TOI-2445: 43.3161555 0.0523366 10.779 0.270 0.250 3333.0 4.97 nan
 TOI-2445 b: 0.492 1.250 nan 0.0064 0.37113 1043.9 0
>TOI-2447: 70.9975864 -31.9066369 9.120 1.010 1.030 5730.0 4.30 0.18
 TOI-2447 b: 7.160 9.606 124.907 0.3470 69.33684 471.4 0
>TOI-2459: 82.1433321 -39.3730456 7.574 0.680 0.660 4195.0 4.60 nan
 TOI-2459 b: 3.252 2.953 nan 0.1405 19.10472 445.0 0
>TOI-2485: 205.2043217 22.9839692 10.051 1.720 1.160 6016.4 4.01 nan
 TOI-2485 b: 6.567 12.139 766.602 0.1093 11.23479 1150.9 0
>TOI-2497: 90.0625878 11.8840577 8.486 2.360 1.860 7360.0 3.96 0.09
 TOI-2497 b: 7.838 11.142 1531.933 0.1166 10.65567 1596.7 0
>TOI-2498: 95.4162204 11.2516477 9.933 1.260 1.120 5905.0 4.30 0.17
 TOI-2498 b: 2.975 6.060 34.620 0.0491 3.73825 1442.4 0
>TOI-251: 353.0620655 -37.2558629 8.426 0.880 1.040 5875.0 4.56 -0.11
 TOI-251 b: 2.232 2.740 317.830 0.0574 4.93777 1109.1 0
>TOI-2524: 160.8868435 -1.9126984 11.198 1.120 1.010 5831.0 4.34 0.06
 TOI-2524 b: 4.254 11.209 203.410 0.0730 7.18585 1101.3 0
>TOI-2525: 86.8509737 -60.5213081 11.905 0.790 0.850 5096.0 4.58 0.14
 TOI-2525 b: 4.050 8.676 26.698 0.1511 23.28560 561.9 0
 TOI-2525 c: 5.502 10.133 208.813 0.2490 49.25190 437.7 0
>TOI-2529: 118.9945352 -52.3548332 9.489 1.700 1.110 5802.0 4.03 0.10
 TOI-2529 b: 8.943 11.545 743.718 0.3270 64.59490 637.9 0
>TOI-2545: 135.5458029 -3.4208194 8.060 1.250 1.050 5846.3 4.27 -0.27
 TOI-2545 b: 4.271 2.750 nan 0.0795 7.99404 1117.7 0
>TOI-2567: 288.4656683 66.3479375 10.717 1.690 1.130 5611.0 4.04 0.24
 TOI-2567 b: 5.458 10.929 63.884 0.0672 5.98394 1356.9 0
>TOI-257: 47.5172608 -50.8322632 6.256 1.870 1.410 6095.0 4.04 0.17
 TOI-257 b: 6.485 7.163 43.860 0.1528 18.38818 1028.2 0
>TOI-2570: 87.1880397 32.0840435 10.905 1.090 1.060 5771.0 4.38 0.19
 TOI-2570 b: 3.006 13.641 260.619 0.0415 2.98876 1427.0 0
>TOI-2583 A: 272.2670293 45.3368996 11.245 1.480 1.220 5936.0 4.18 0.16
 TOI-2583 A b: 4.406 14.460 79.457 0.0571 4.52073 1457.3 0
>TOI-2587 A: 115.9317105 -1.0733330 9.991 1.730 1.150 5760.0 4.02 0.13
 TOI-2587 A b: 4.162 12.072 69.287 0.0635 5.45664 1449.7 0
>TOI-2589: 107.4881501 -37.2309480 9.632 1.070 0.930 5579.0 4.35 0.12
 TOI-2589 b: 6.401 12.106 1112.399 0.3000 61.62770 508.1 0
>TOI-260: 4.7730178 -9.9661505 6.549 0.610 0.620 4026.0 4.45 -0.47
 TOI-260 b: 2.370 1.710 4.230 0.0943 13.47585 493.8 0
>TOI-261: 15.2181412 -24.4239934 8.182 1.280 0.500 5890.3 3.92 nan
 TOI-261.01: 3.343 3.045 nan 0.0348 3.36393 1722.8 0
>TOI-262: 32.5346870 -31.0706272 6.967 0.850 0.910 5310.0 4.54 0.26
 TOI-262 b: 1.501 2.070 nan 0.1630 11.14529 584.7 0
>TOI-2641: 171.1303716 -42.7321394 10.325 1.340 1.160 6100.0 4.20 -0.15
 TOI-2641 b: 1.680 18.103 122.682 0.0607 4.88097 1382.0 0
>TOI-2669: 134.7226445 -13.3125792 8.492 4.100 1.190 4800.0 3.29 0.10
 TOI-2669 b: 5.715 19.728 193.875 0.0700 6.20340 1771.2 0
>TOI-269: 75.8462827 -54.1777213 10.100 0.400 0.390 3514.0 4.83 -0.29
 TOI-269 b: 0.931 2.770 8.800 0.0345 3.69771 577.0 0
>TOI-270: 68.4160804 -51.9573937 8.251 0.380 0.390 3506.0 4.87 -0.20
 TOI-270 b: 1.413 1.206 1.580 0.0320 3.36015 582.9 0
 TOI-270 c: 1.658 2.355 6.150 0.0453 5.66057 489.9 0
 TOI-270 d: 2.235 2.133 4.780 0.0721 11.37957 388.1 0
>TOI-2714: 61.4012482 -14.9267458 11.807 1.250 1.070 5665.0 4.25 0.30
 TOI-2714 b: 3.140 13.720 228.000 0.0360 2.49939 1609.7 0
>TOI-2768: 99.3641336 -15.4812031 9.369 0.660 0.630 4008.0 4.50 nan
