# > host: RA(deg) dec(deg) Ks_mag rstar(rsun) mstar(msun) teff(K) log_g metallicity(dex)
# planet: T14(h) rplanet(rearth) mplanet(mearth) semi-major_axis(AU) period(d) t_eq(K) is_min_mass
>EPIC 212587672: 205.4445125 -10.8625468 10.857 0.980 0.990 6004.0 4.45 -0.18
 EPIC 212587672 b: 3.460 1.260 nan 0.1401 15.28078 765.6 0
 EPIC 212587672 c: 3.250 2.320 nan 0.2312 23.22856 596.0 0
>EPIC 212624936: 210.6376171 -10.0236852 12.292 0.930 5.332 5765.0 4.40 -0.39
 EPIC 212624936 b: nan 1.200 nan 0.0130 0.57866 2353.6 0
 EPIC 212624936 c: 2.064 2.300 nan 0.1773 11.81144 636.6 0
>EPIC 212737443: 204.2215065 -7.3180577 12.160 0.670 0.690 4684.0 4.62 -0.14
 EPIC 212737443 b: 2.976 2.586 nan 0.0980 13.60300 590.6 0
 EPIC 212737443 c: 4.608 2.690 nan 0.2800 65.55000 349.4 0
>EPIC 220492298: 16.7615005 6.5887980 12.168 0.890 0.533 5620.0 4.50 0.28
 EPIC 220492298 b: nan 0.990 nan 0.0132 0.76241 2221.5 0
>EPIC 220674823: 13.0800239 10.7947051 10.344 0.990 0.950 5532.0 4.53 0.11
 EPIC 220674823 b: 1.532 1.725 8.210 0.0133 0.57129 2304.9 0
 EPIC 220674823 c: 4.440 2.836 8.900 0.1083 13.33970 806.5 0
>EPIC 228836835: 189.5748998 -5.2446247 12.020 0.320 0.217 3782.0 5.00 -0.18
 EPIC 228836835 b: 0.799 1.100 nan 0.0095 0.72811 1057.1 0
>EPIC 229004835: 186.4860415 -1.4047214 8.725 1.000 0.970 5868.0 4.47 -0.12
 EPIC 229004835 b: 2.100 2.332 10.400 0.1237 16.14113 804.5 0
>EPIC 246851721: 78.9198197 16.2786991 9.893 1.590 1.320 6202.0 4.16 0.14
 EPIC 246851721 b: 4.108 11.781 953.490 0.0723 6.18023 1402.6 0
>EPIC 248847494: 159.3890808 11.8427484 10.148 2.700 0.900 4898.0 3.52 -0.23
 EPIC 248847494 b: 53.600 12.442 4131.790 4.5000 3650.00000 182.9 0
>EPIC 249893012: 228.2482353 -16.7246474 9.714 1.710 1.050 5430.0 3.99 0.20
 EPIC 249893012 b: 4.330 1.950 8.750 0.0470 3.59510 1579.4 0
 EPIC 249893012 c: 6.370 3.670 14.670 0.1300 15.62400 949.6 0
 EPIC 249893012 d: 9.560 3.940 10.180 0.2200 35.74700 730.0 0
>FU Tau: 65.8974962 25.0506711 9.324 nan 0.050 2838.0 nan nan
 FU Tau b: nan nan 5085.280 800.0000 36960561.70721 nan 0
